iter	Logloss
0	0.660556127
1	0.6325688643
2	0.6171570381
3	0.5965720243
4	0.5782189023
5	0.5638158428
6	0.5469719816
7	0.5388104364
8	0.5247222125
9	0.5146054071
10	0.5028699636
11	0.4933954933
12	0.4863465589
13	0.4777238775
14	0.4699608765
15	0.4634275064
16	0.4571632765
17	0.4515801473
18	0.4461367795
19	0.4411477601
20	0.4360119472
21	0.4317878373
22	0.4286591516
23	0.4244152558
24	0.4209406137
25	0.4186722453
26	0.4150254859
27	0.4120316911
28	0.4098312529
29	0.4078606731
30	0.405545391
31	0.4041102077
32	0.402077976
33	0.4006758149
34	0.3994115475
35	0.3980363464
36	0.3969187583
37	0.3956254646
38	0.3945392552
39	0.3935544728
40	0.3927895616
41	0.391200575
42	0.3907416163
43	0.3892565725
44	0.3883201236
45	0.3878860446
46	0.3868864387
47	0.3866527701
48	0.3859036282
49	0.3846210855
50	0.3836924081
51	0.3823943674
52	0.3819703632
53	0.3806430928
54	0.3798382739
55	0.3791571275
56	0.3787097182
57	0.3779676298
58	0.3775571295
59	0.3769624999
60	0.3764813606
61	0.3759588403
62	0.3755042356
63	0.3744289786
64	0.3737777992
65	0.3735005027
66	0.3731510482
67	0.3723702095
68	0.3717090488
69	0.3709003435
70	0.370121558
71	0.3699182841
72	0.3696426986
73	0.3690510804
74	0.3688361657
75	0.3683215875
76	0.3676021931
77	0.3670372779
78	0.3660280895
79	0.3656363618
80	0.3653050273
81	0.3649107568
82	0.3645338767
83	0.3641493617
84	0.3638918078
85	0.363230553
86	0.3627081101
87	0.3621291369
88	0.3617572431
89	0.3613046699
90	0.3609665596
91	0.360483471
92	0.3602624229
93	0.3598749136
94	0.35922678
95	0.3586565613
96	0.3581091227
97	0.3574992316
98	0.3572239863
99	0.3568556541
100	0.3562329833
101	0.3559474071
102	0.3557060849
103	0.3549695507
104	0.3546794512
105	0.3543911341
106	0.3542543423
107	0.3533729441
108	0.3531359905
109	0.3527825152
110	0.3524913848
111	0.3516834131
112	0.3508689327
113	0.3506527433
114	0.350460759
115	0.3498157132
116	0.3491142026
117	0.3489887281
118	0.3477094492
119	0.3474611303
120	0.346773822
121	0.3461750898
122	0.3460008461
123	0.3456366184
124	0.3453672412
125	0.3450492695
126	0.3448934575
127	0.3446072635
128	0.3445026792
129	0.3439827944
130	0.3435191194
131	0.3432264265
132	0.3426353316
133	0.3423205084
134	0.3418338235
135	0.3412210867
136	0.3406421018
137	0.3402423367
138	0.3398968422
139	0.3395408214
140	0.3387156085
141	0.3380058758
142	0.337749324
143	0.3371113725
144	0.3369326416
145	0.3365895187
146	0.3362530489
147	0.3358668021
148	0.3355303387
149	0.3351276956
150	0.33495967
151	0.3344691444
152	0.3340325414
153	0.3337196373
154	0.3334498531
155	0.3332583416
156	0.3329050587
157	0.3324933265
158	0.3320135091
159	0.3313580307
160	0.3312967971
161	0.33103409
162	0.3309075427
163	0.3303789324
164	0.3302495424
165	0.3298033665
166	0.3297269559
167	0.3293214335
168	0.3286791573
169	0.3283900334
170	0.3274407298
171	0.3267799029
172	0.3260708393
173	0.3260249048
174	0.3254898465
175	0.3243742942
176	0.3239017289
177	0.3237200982
178	0.3233046665
179	0.3228408318
180	0.3227045924
181	0.3222806564
182	0.3219497513
183	0.3216490672
184	0.3211945432
185	0.3207119315
186	0.3205061233
187	0.3201219999
188	0.3198580083
189	0.3194754484
190	0.3190776386
191	0.3186925223
192	0.3183730856
193	0.318176224
194	0.3179958544
195	0.3177375805
196	0.3171393526
197	0.3162986603
198	0.3159286753
199	0.3156567935
200	0.3154720814
201	0.3150220589
202	0.3148644228
203	0.3147556983
204	0.3145517245
205	0.3139529719
206	0.3132808862
207	0.3124522853
208	0.3121433336
209	0.3116419802
210	0.3115585364
211	0.3113654406
212	0.3112314672
213	0.3109804226
214	0.3102725958
215	0.30987227
216	0.3090714769
217	0.3088589781
218	0.3086403911
219	0.3084032004
220	0.3081280249
221	0.3079611417
222	0.307777962
223	0.3074960009
224	0.307130778
225	0.3069267042
226	0.3065380076
227	0.3062989295
228	0.3061213302
229	0.3058237867
230	0.3057139953
231	0.3055018768
232	0.3050769603
233	0.3046533625
234	0.3043062512
235	0.3039086064
236	0.3035076697
237	0.3033709122
238	0.3028787725
239	0.3026018604
240	0.3024326952
241	0.3016849431
242	0.3011028255
243	0.3009480724
244	0.3006936878
245	0.3004273678
246	0.300050984
247	0.2997290298
248	0.2994588334
249	0.2991860145
250	0.298973946
251	0.2980217178
252	0.2977171729
253	0.297186333
254	0.2969569588
255	0.2962494896
256	0.2959377866
257	0.2956366841
258	0.2950654752
259	0.2943270566
260	0.2940524293
261	0.2933531993
262	0.293211315
263	0.2929089904
264	0.2926270936
265	0.2924445629
266	0.2923934073
267	0.2922071415
268	0.2920942685
269	0.2915806147
270	0.2913867989
271	0.2912739446
272	0.2912356783
273	0.2908633481
274	0.2906731111
275	0.2903237595
276	0.2901368775
277	0.2896589935
278	0.2895315176
279	0.2886554663
280	0.28837868
281	0.2881744231
282	0.2878168884
283	0.2872653828
284	0.2868074367
285	0.2864874502
286	0.2862989369
287	0.2858519661
288	0.2856087006
289	0.2847258393
290	0.2841101334
291	0.2839466706
292	0.2831574149
293	0.2824360929
294	0.2820622684
295	0.2818700608
296	0.2817411522
297	0.2816386654
298	0.2814878609
299	0.2810768798
300	0.280493047
301	0.2798288976
302	0.2792962199
303	0.2787053384
304	0.278612471
305	0.2784270071
306	0.2782651966
307	0.277943186
308	0.2776872732
309	0.2770696173
310	0.2765074708
311	0.2762798416
312	0.27594104
313	0.27569143
314	0.2756079875
315	0.2754284532
316	0.2752734499
317	0.2751501183
318	0.2749506718
319	0.2748540889
320	0.2748217717
321	0.2743039526
