iter	Passed	Remaining
0	0	178
1	0	156
2	0	149
3	1	143
4	1	145
5	1	140
6	1	138
7	2	133
8	2	132
9	2	131
10	2	129
11	3	129
12	3	128
13	3	128
14	3	127
15	4	127
16	4	127
17	4	126
18	5	126
19	5	126
20	5	125
21	5	125
22	6	124
23	6	124
24	6	124
25	6	123
26	7	123
27	7	123
28	7	123
29	7	122
30	8	122
31	8	121
32	8	121
33	8	121
34	9	120
35	9	120
36	9	120
37	9	119
38	10	119
39	10	119
40	10	119
41	10	119
42	11	118
43	11	118
44	11	118
45	11	117
46	12	117
47	12	116
48	12	117
49	13	117
50	13	117
51	13	117
52	13	116
53	14	116
54	14	115
55	14	115
56	14	115
57	15	114
58	15	114
59	15	114
60	15	114
61	16	114
62	16	113
63	16	113
64	16	113
65	17	113
66	17	113
67	17	112
68	18	112
69	18	112
70	18	111
71	18	111
72	19	111
73	19	111
74	19	110
75	19	110
76	20	109
77	20	110
78	20	109
79	20	109
80	21	109
81	21	108
82	21	108
83	21	108
84	22	107
85	22	107
86	22	107
87	22	107
88	23	106
89	23	106
90	23	106
91	23	106
92	24	105
93	24	105
94	24	105
95	24	105
96	25	104
97	25	104
98	25	104
99	25	103
100	26	103
101	26	103
102	26	103
103	27	102
104	27	102
105	27	102
106	27	101
107	28	101
108	28	101
109	28	101
110	28	100
111	28	100
112	29	100
113	29	100
114	29	100
115	30	99
116	30	99
117	30	99
118	30	99
119	31	98
120	31	98
121	31	98
122	32	98
123	32	97
124	32	97
125	32	97
126	33	97
127	33	96
128	33	96
129	33	96
130	34	96
131	34	96
132	34	95
133	34	95
134	35	95
135	35	94
136	35	94
137	35	94
138	36	94
139	36	93
140	36	93
141	36	93
142	37	92
143	37	92
144	37	92
145	37	92
146	38	91
147	38	91
148	38	91
149	39	91
150	39	90
151	39	90
152	39	90
153	39	89
154	40	89
155	40	89
156	40	89
157	40	88
158	41	88
159	41	88
160	41	87
161	41	87
162	42	87
163	42	87
164	42	86
165	43	86
166	43	86
167	43	86
168	43	85
169	44	85
170	44	85
171	44	85
172	44	84
173	45	84
174	45	84
175	45	83
176	45	83
177	46	83
178	46	83
179	46	82
180	46	82
181	47	82
182	47	82
183	47	81
184	47	81
185	48	81
186	48	81
187	48	80
188	49	80
189	49	80
190	49	80
191	49	79
192	50	79
193	50	79
194	50	79
195	50	78
196	51	78
197	51	78
198	51	78
199	51	77
200	52	77
201	52	77
202	52	76
203	52	76
204	53	76
205	53	76
206	53	75
207	53	75
208	54	75
209	54	75
210	54	74
211	54	74
212	55	74
213	55	74
214	55	73
215	55	73
216	56	73
217	56	73
218	56	72
219	56	72
220	57	72
221	57	71
222	57	71
223	57	71
224	58	71
225	58	70
226	58	70
227	58	70
228	59	70
229	59	69
230	59	69
231	59	69
232	60	69
233	60	68
234	60	68
235	60	68
236	61	67
237	61	67
238	61	67
239	62	67
240	62	67
241	62	66
242	62	66
243	63	66
244	63	66
245	63	65
246	63	65
247	64	65
248	64	64
249	64	64
250	64	64
251	65	64
252	65	63
253	65	63
254	65	63
255	66	63
256	66	62
257	66	62
258	67	62
259	67	62
260	67	61
261	67	61
262	68	61
263	68	61
264	68	60
265	68	60
266	69	60
267	69	60
268	69	59
269	70	59
270	70	59
271	70	59
272	70	58
273	71	58
274	71	58
275	71	58
276	71	57
277	72	57
278	72	57
279	72	57
280	73	56
281	73	56
282	73	56
283	73	56
284	74	55
285	74	55
286	74	55
287	74	55
288	75	54
289	75	54
290	75	54
291	75	53
292	76	53
293	76	53
294	76	53
295	76	52
296	77	52
297	77	52
298	77	52
299	77	51
300	78	51
301	78	51
302	78	51
303	78	50
304	79	50
305	79	50
306	79	50
307	79	49
308	80	49
309	80	49
310	80	49
311	80	48
312	81	48
313	81	48
314	81	47
315	81	47
316	82	47
317	82	47
318	82	46
319	83	46
320	83	46
321	83	46
322	83	45
323	83	45
324	84	45
325	84	45
326	84	44
327	85	44
328	85	44
329	85	44
330	85	43
331	86	43
332	86	43
333	86	43
334	86	42
335	87	42
336	87	42
337	87	41
338	87	41
339	88	41
340	88	41
341	88	40
342	88	40
343	89	40
344	89	40
345	89	39
346	89	39
347	90	39
348	90	39
349	90	38
350	90	38
351	91	38
352	91	38
353	91	37
354	91	37
355	92	37
356	92	36
357	92	36
358	92	36
359	93	36
360	93	35
361	93	35
362	93	35
363	94	35
364	94	34
365	94	34
366	94	34
367	95	34
368	95	33
369	95	33
370	95	33
371	96	33
372	96	32
373	96	32
374	96	32
375	97	32
376	97	31
377	97	31
378	98	31
379	98	31
380	98	30
381	98	30
382	99	30
383	99	29
384	99	29
385	99	29
386	100	29
387	100	28
388	100	28
389	100	28
390	101	28
391	101	27
392	101	27
393	101	27
394	102	27
395	102	26
396	102	26
397	102	26
398	103	26
399	103	25
400	103	25
401	103	25
402	104	25
403	104	24
404	104	24
405	104	24
406	104	23
407	105	23
408	105	23
409	105	23
410	106	22
411	106	22
412	106	22
413	106	22
414	107	21
415	107	21
416	107	21
417	107	21
418	108	20
419	108	20
420	108	20
421	108	20
422	109	19
423	109	19
424	109	19
425	109	19
426	110	18
427	110	18
428	110	18
429	110	18
430	111	17
431	111	17
432	111	17
433	111	17
434	112	16
435	112	16
436	112	16
437	112	15
438	113	15
439	113	15
440	113	15
441	113	14
442	114	14
443	114	14
444	114	14
445	114	13
446	115	13
447	115	13
448	115	13
449	115	12
450	116	12
451	116	12
452	116	12
453	116	11
454	117	11
455	117	11
456	117	11
457	117	10
458	118	10
459	118	10
460	118	10
461	118	9
462	119	9
463	119	9
464	119	9
465	119	8
466	120	8
467	120	8
468	120	7
469	120	7
470	121	7
471	121	7
472	121	6
473	121	6
474	122	6
475	122	6
476	122	5
477	122	5
478	123	5
479	123	5
480	123	4
481	123	4
482	124	4
483	124	4
484	124	3
485	124	3
486	125	3
487	125	3
488	125	2
489	126	2
490	126	2
491	126	2
492	126	1
493	127	1
494	127	1
495	127	1
496	127	0
497	128	0
498	128	0
499	128	0
